Path,Pitch,RMSE,PercentSilence,FrequencyMagnitude
E:/CHTPT_code_me/static/Helicopter/Helicopter10.wav,"[29.914652, 26.537968, 27.691433, 27.973324, 26.73623, 26.940775, 27.276636]","[8.234632024433203, 13.418551411623845, 13.318668619640881, 19.933741253667645, 15.966756932348723, 9.046700264194182, 10.272263996497108]","[52.12698412698413, 44.25850340136055, 56.73469387755102, 54.739229024943306, 57.383219954648524, 47.66439909297052, 52.271549266573366]","[(226, 5469.362500205525), (22208, 31.55895556456342), (64797, 63.623807180217575), (66844, 14.969167549717293), (89553, 63.623807180217575), (132142, 31.55895556456342), (154124, 5469.362500205525)]"
E:/CHTPT_code_me/static/Helicopter/Helicopter11.wav,"[28.842007, 26.86234, 27.54658, 26.32773, 26.854105, 27.308016, 27.540016]","[9.396356198568503, 10.074905825534923, 8.485146024308744, 9.855752602951336, 12.705180500467707, 11.694804266361254, 12.610510838705869]","[53.36507936507937, 46.19047619047619, 50.775510204081634, 51.30612244897959, 54.33560090702948, 50.56235827664399, 53.50774892448038]","[(226, 6381.594210715635), (22216, 36.64768756105226), (65116, 57.6816074244249), (87963, 15.208175208653147), (89234, 57.68160742442489), (132134, 36.64768756105227), (154124, 6381.594210715635)]"
E:/CHTPT_code_me/static/Helicopter/Helicopter12.wav,"[28.656534, 26.584152, 27.060482, 26.343029, 26.577303, 27.391111, 26.969627]","[15.072524108988947, 8.056837752727526, 11.79283500837517, 10.886694295498144, 10.885426198087988, 11.073329990973608, 10.985758261466842]","[53.74149659863946, 47.492063492063494, 51.78231292517007, 48.94331065759637, 47.451247165532884, 49.301587301587304, 51.02822267143524]","[(226, 6179.815591106909), (22218, 53.77097847437766), (65052, 88.21970738271574), (87927, 15.180180274670501), (89298, 88.21970738271573), (132132, 53.77097847437767), (154124, 6179.815591106909)]"
E:/CHTPT_code_me/static/Helicopter/Helicopter13.wav,"[28.763796, 27.16577, 26.779936, 27.13787, 27.684975, 27.008204, 28.700363]","[13.151374347047707, 10.782722890975752, 12.991444625714351, 13.368608043085606, 20.189321236241433, 24.780118567425582, 11.238549171303887]","[50.82993197278912, 45.51927437641723, 46.249433106575964, 48.285714285714285, 55.21541950113379, 55.269841269841265, 55.196185144871194]","[(226, 5159.48358184451), (22219, 49.04112834147959), (65010, 61.63689101483658), (66278, 18.37493946344575), (89340, 61.636891014836564), (132131, 49.04112834147956), (154124, 5159.48358184451)]"
E:/CHTPT_code_me/static/Helicopter/Helicopter14.wav,"[28.71152, 26.709728, 28.505497, 27.663858, 27.075668, 27.151981, 26.64189]","[15.410799645753794, 13.064011709675903, 14.603219684656887, 9.582581386036638, 9.841718158540537, 9.363234873412043, 11.285661458082142]","[51.62358276643991, 48.35374149659864, 53.192743764172334, 51.764172335600904, 50.61224489795919, 51.832199546485256, 49.09358316487845]","[(226, 5684.168812826202), (22219, 40.23731399410964), (64699, 67.46752364616225), (87865, 15.004168627091563), (89651, 67.46752364616226), (132131, 40.23731399410963), (154124, 5684.168812826203)]"
E:/CHTPT_code_me/static/Helicopter/Helicopter15.wav,"[29.696873, 28.162718, 28.654612, 28.75092, 28.545712, 25.703444, 30.258253]","[11.073203805054343, 9.006728443671905, 9.943433183278623, 12.699145998894458, 12.935953030994694, 14.502673355552057, 9.429433149316104]","[49.832199546485256, 46.68027210884353, 48.40362811791383, 48.50793650793651, 53.006802721088434, 48.6031746031746, 49.236769812885505]","[(226, 5631.452752155184), (22219, 32.5100071150968), (65278, 57.793411711728254), (66734, 13.216256783898153), (89072, 57.79341171172827), (132131, 32.51000711509681), (154124, 5631.452752155184)]"
E:/CHTPT_code_me/static/Helicopter/Helicopter2.wav,"[29.95413, 28.114466, 30.075315, 28.214453, 27.363266, 27.363237, 26.847425]","[27.291491636356643, 14.580393445101523, 11.428696197054663, 11.55711848710087, 9.595302563060873, 10.777542494179215, 9.211460554174014]","[54.94331065759637, 45.7687074829932, 51.197278911564624, 47.92743764172336, 49.968253968253975, 54.07256235827664, 53.87575804696004]","[(226, 5466.395130755255), (22204, 27.22241907996449), (65108, 51.41671965426047), (87841, 15.940688015200863), (89242, 51.416719654260454), (132146, 27.22241907996451), (154124, 5466.395130755253)]"
E:/CHTPT_code_me/static/Helicopter/Helicopter3.wav,"[28.654432, 26.66606, 27.692392, 27.437778, 25.993587, 28.951952, 28.979195]","[14.769251486503107, 16.541358912807134, 13.390832321186151, 17.11254704832321, 27.669946232899314, 22.51156941388867, 12.615631853917701]","[47.46938775510204, 55.21541950113379, 54.49886621315193, 48.59863945578231, 53.51020408163265, 59.750566893424036, 56.31187477323382]","[(226, 5105.414085499705), (22236, 26.755130427311492), (65190, 73.36131577658786), (87916, 17.649426425297865), (89160, 73.36131577658789), (132114, 26.75513042731148), (154124, 5105.414085499704)]"
E:/CHTPT_code_me/static/Helicopter/Helicopter4.wav,"[29.001123, 29.601425, 27.552296, 28.136606, 27.394424, 27.313929, 27.441517]","[9.02772860623203, 10.066973688662983, 15.934606097150771, 16.508505939106858, 14.041859179269522, 10.537086054682732, 10.571103617050019]","[51.265306122448976, 44.471655328798185, 47.83219954648526, 43.93650793650794, 47.7732426303855, 47.709750566893426, 45.24050173638107]","[(226, 5872.5017027215645), (22255, 26.72066944940886), (64740, 57.84702466015019), (87971, 15.004847087056024), (89610, 57.84702466015018), (132095, 26.720669449408867), (154124, 5872.5017027215645)]"
E:/CHTPT_code_me/static/Helicopter/Helicopter5.wav,"[31.939896, 26.533182, 27.475986, 27.271566, 27.436865, 27.263502, 26.77933]","[9.616756989339063, 9.702074534392782, 14.554590843839659, 14.52760730227012, 15.160548655937115, 10.811065239388318, 14.635480852753279]","[51.20181405895692, 49.81859410430839, 50.08616780045351, 55.84126984126984, 50.98412698412698, 51.1156462585034, 50.892162960659306]","[(226, 5471.200587114112), (22246, 22.200843290024217), (64874, 89.83565174058288), (87993, 13.652914180518373), (89476, 89.83565174058285), (132104, 22.200843290024217), (154124, 5471.200587114112)]"
